zip,census_tract,approval,loan_amount,property_value,income,tract_minority_population_percent,income_level,dti_level,derived_race,num_below_p50,ec_zip,nbhd_ec_zip,exposure_grp_mem_zip,nbhd_exposure_zip,clustering_zip,volunteering_rate_zip,civic_organizations_zip
93654,06019006300,0.8260516331128748,223887.7654225881,344933.1921558233,92.59372857008744,70.54090909090908,moderate,50,White,5772.020695924759,0.49799000999999987,0.41361999999999993,0.5942100300000001,0.5003600099999999,0.097489998,0.021469998999999997,0.011289999999999998
93656,06019007400,0.7979859231960074,226838.49483849484,341618.8301272335,91.92571940975303,75.73714285714284,moderate,50,White,1417.9410939216611,0.51678997,0.4104799899999999,0.59522003,0.42096999000000007,0.11272000000000001,0.025189998999999998,0.0024300001
93657,06019005904,0.8430559895059707,282930.25633950013,458018.1964447898,113.74267685100403,58.009166666666665,upper,50,White,5861.73855137825,0.58227998,0.4876500100000001,0.68290001,0.5641499799999999,0.08630999900000001,0.02864,0.007989999799999998
93662,06019001600,0.8214370198984193,236825.55461234765,366692.9404480544,90.33329653539751,80.93333333333332,moderate,50,White,6475.495285511017,0.4816099999999999,0.37116,0.5632600199999999,0.41413998999999996,0.09426,0.019819999,0.0060899998
93667,06019006402,0.8882954654527006,349656.99515967583,566223.930123819,195.84169534752976,21.520000000000003,upper,30,White,230.4398956298828,0.90358001,0.92540002,1.09826,1.02987,0.1025,0.12012,0.019929999
93702,06019000400,0.8050408162582237,169735.159693724,247901.9308947635,71.59001669122732,91.74894736842106,moderate,50,White,18038.41638565063,0.40125,0.069219999,0.40770999,0.10175,0.07410000300000001,0.019519999999999996,0.0047300002
93703,06019002300,0.8429576765429184,181860.740880106,264125.39788162237,72.03023572315988,81.25666666666665,moderate,50,White,9402.069289207458,0.49948001000000003,0.13733999000000002,0.5530600000000001,0.21119,0.07626999899999999,0.021940000000000005,0.00599
93704,06019003500,0.8719558564922786,242513.05999123305,368875.1670389287,104.85722201470557,55.24636363636364,middle,50,White,4321.545372009277,0.6825799899999999,0.52575999,0.78921998,0.60086,0.07411999999999999,0.049849998,0.007939999899999998
93705,06019002000,0.847333287607973,201141.14442837576,308851.93309307017,85.93770103554579,66.31538461538462,moderate,50,White,8376.728942871094,0.54174,0.25289999999999996,0.61910999,0.3302400099999999,0.07556000399999999,0.035080000999999986,0.0041299998
93706,06019000200,0.7754595989524702,208381.68683731,333798.1297730762,95.83300393853446,81.5955,moderate,50,White,11427.58181810379,0.43272001,0.16116001000000002,0.49305999000000017,0.21168999,0.07996000300000002,0.019619999,0.0065100002
93710,06019004504,0.8353923054467658,221097.23727000577,328138.92470501346,90.45267752087659,59.8225,moderate,50,White,3542.651769638062,0.75673002,0.50928998,0.8277099700000002,0.6267700200000001,0.082379997,0.045329999,0.01393
93711,06019004205,0.862060973728551,271694.9509009166,435668.9549551247,121.84302002384226,46.235625,upper,50,White,2619.16001868248,0.83955002,1.18221,0.95007998,1.1875401,0.087059997,0.045449998,0.01164
93720,06019004404,0.8671036431489904,290039.53506402485,457692.30859698774,156.47969970019238,45.762499999999996,upper,50,White,2464.657880343497,0.89227003,1.7141401,1.0357,1.64599,0.087049998,0.049219999,0.0090899998
93722,06019002000,0.8282731607051736,227947.92829243574,341773.50057186605,92.67119557622678,70.39526315789475,upper,50,White,9726.964012145996,0.6433600199999999,0.49314000999999996,0.68606001,0.5262699699999999,0.08144000199999998,0.028290000000000003,0.0038300000999999997
93723,06019001900,0.7792170153703242,252623.789342141,412465.8947692386,99.14799048342353,71.33000000000003,upper,42,White,1208.0504817962649,0.75682998,0.69384998,0.81383002,0.7017499799999999,0.086989999,0.031129998999999995,0.00174
93725,06019001100,0.8280641389273147,238279.01643642483,364733.2722123986,93.78789231443794,78.44142857142857,middle,50,White,5661.36094969511,0.48230001000000017,0.26525,0.5984500099999999,0.33239001000000007,0.08617000299999998,0.018540001,0.004339999999999998
93726,06019003104,0.8348606391531759,194960.58794951247,286938.3343089746,82.63958460259855,72.64,moderate,50,White,7895.603542804718,0.6194800100000001,0.28861999999999993,0.67263001,0.3731400100000001,0.08172000199999999,0.03125999899999999,0.014330000000000004
93727,06019001407,0.8338523013055085,243170.34049005533,348561.9545115878,90.62398829181272,72.3442857142857,middle,50,White,12239.97560966015,0.6692199700000001,0.51498997,0.70701998,0.57450998,0.083669998,0.030769999999999992,0.0047100000000000015
93728,06019002000,0.8260536965705778,196026.59686796612,283541.11535077635,83.0295065580641,70.26999999999998,moderate,50,White,4153.049346446991,0.58183002,0.30237001,0.69906998,0.36872,0.073210001,0.06476,0.01044
93901,06053000501,0.8700518586180137,376064.14742718963,623133.7624992543,138.5300492733926,69.06272727272727,middle,50,White,3496.943057060242,0.6621900199999999,0.8350300199999999,0.96605003,0.96061999,0.08010000000000002,0.090269998,0.03550999999999999
93905,06053000104,0.830123850318808,329267.7494558726,542095.994325211,99.24485729533708,93.83153846153846,moderate,50,White,18628.34460449219,0.42968999999999996,0.37751001,0.58371001,0.48679998999999996,0.082529999,0.024890000000000002,0.0010299999999999999
93906,06053000101,0.8642561397973904,363117.9275541661,594386.4241838987,109.40491594730058,82.12285714285713,middle,50,White,9486.463877499104,0.59811002,0.6402199900000001,0.8395199800000002,0.7843300099999999,0.08264999799999997,0.04417999799999999,0.00238
93907,06053001801,0.8402811745154679,401391.7635714832,695296.0165241768,124.57612855957593,67.41666666666667,middle,50,White,2501.328840851784,0.72867,0.95929998,0.97953999,0.9772899699999998,0.088519998,0.081759997,0.00611
93908,06053000101,0.859870319505497,462696.661014939,848788.2240028866,165.34426934054505,57.13928571428571,middle,50,White,680.476246803999,0.7034699900000001,1.3360698999999998,1.0128900000000003,1.3167000000000004,0.086900003,0.20246000999999994,0.00562
93926,06053010804,0.8684260944534916,326553.30970399466,580519.6857936584,108.99664718842801,91.87,middle,50,White,1765.249633789063,0.53956002,0.52158999,0.73517001,0.62147999,0.10927,0.045340002,0.00242
93927,06053011101,0.8515855779315402,305086.2590384026,502552.4751918072,114.02222324866891,86.35,moderate,50,White,3293.6715087890634,0.47955999,0.40435001000000004,0.62507999,0.51550001,0.10159,0.03884,0.00397
93930,06053011204,0.8515174872056024,322200.52416576317,2740569.45258603,112.30672130187779,74.86399999999999,middle,50,White,2690.94605588913,0.46748998999999997,0.47905001,0.66610003,0.57924998,0.10667,0.048829999,0.00765
93933,06053014102,0.8740337174237959,457742.8692060943,773108.3333729585,162.2701661904312,56.704999999999984,middle,50,White,3089.029830932617,0.88872999,1.01498,1.20237,1.33631,0.09245,0.10027,0.0091800001
93940,06053011502,0.8481875436509122,589907.5755331776,1320338.623384018,238.39115063720962,27.189090909090908,upper,50,White,1883.788865685463,1.0978300999999997,1.28786,1.33582,1.5462199000000003,0.08895000099999999,0.11932000000000001,0.03813
93955,06053013300,0.8693303340763243,419460.45316034835,741161.5917587016,141.06743479932135,60.963,middle,50,White,6052.311573639512,0.7610599999999998,0.7000399799999999,1.1333801,1.13246,0.09221000199999999,0.084370002,0.012879999999999999
93960,06053010804,0.8550706382581209,323055.3323110916,551620.8774166966,114.44544203953588,90.51999999999998,middle,50,White,3264.842949956656,0.56242001,0.54777998,0.74127001,0.64293998,0.10302,0.046670001,0.0027900001
